"女","joジョ","onnna, meおんな、 め","woman, female","N5"
"北","hokuホク","kitaきた","north","N5"
"午","goゴ","umaうま","noon, sign of the horse","N5"
"百","hyaku, byakuヒャク、 ビャク","momoもも","hundred","N5"
"書","shoショ","kakuか(く)","write","N5"
"先","senセン","saki, ma(zu)さき、 ま(ず)","before, ahead, previous, future, precedence","N5"
"名","mei, myouメイ、 ミョウ","naな","name, noted, distinguished, reputation","N5"
"川","senセン","kawaかわ","river, stream","N5"
"千","senセン","chiち","thousand","N5"
"水","suiスイ","mizuみず","water","N5"
"半","hanハン","naka(ba)なか(ば)","half, middle, odd number, semi-","N5"
"男","dan, nanダン、 ナン","otoko, oおとこ、 お","male; man","N5"
"西","sei, saiセイ、 サイ","nishiにし","west","N5"
"電","denデン"," ","electricity; electric powered","N5"
"校","kouコウ"," ","school, exam","N5"
"語","goゴ","kata(ru)かた(る)","word, speech, language","N5"
"土","do, toド、 ト","tsuchiつち","soil, earth, ground","N5"
"木","boku, mokuボク、 モク","ki, koき、 こ-","tree, wood","N5"
"聞","bun, monブン、 モン","ki(ku)き(く)","to hear; to listen; to ask","N5"
"食","shoku, jikiショク、 ジキ","k(u), ta(beru), ha(mu)く(う)、 た(べる)、 は(む)","eat, food","N5"
"車","shaシャ","kurumaくるま","car, wheel","N5"
"何","kaカ","nani, nanなに、 なん","what","N5"
"南","nan, naナン、 ナ","minamiみなみ","south","N5"
"万","man, banマン、 バン"," ","ten thousand, 10,000","N5"
"毎","maiマイ","goto(ni)ごと(に)","every","N5"
"白","haku, byakuハク、 ビャク","shiro(i)しろ(い)","white","N5"
"天","tenテン","amatsuあまつ","heavens, sky, imperial","N5"
"母","boボ","haha, kaaはは、 かあ","mother","N5"
"火","kaカ","hi, bi, hoひ、 -び、 ほ-","fire","N5"
"右","u, yuuウ、 ユウ","migiみぎ","right","N5"
"読","doku, toku, touドク、 トク、 トウ","yo(mu)よ(む)","to read","N5"
"友","yuuユウ","tomoとも","friend","N5"
"左","sa, shaサ、 シャ","hidariひだり","left","N5"
"休","kyuuキュウ","yasu(mu)やす(む)","rest, day off, retire, sleep","N5"
"父","fuフ","chichi, touちち、 とう","father","N5"
"雨","uウ","ame, amaあめ、 あま","rain","N5"
